modelo,y_variable,r2,rmse,pearson,actualizado
random_forest,ndvi,-0.2160823093934398,0.0299912559758211,0.7305574947615953,2026-08-29T13:58:16
random_forest,evi,0.0857556435202983,0.0385863395428487,0.3235654783704814,2026-08-29T13:59:35
xgboost,ndvi,-0.1384362637968761,0.0290180035063362,0.7420406878926717,2026-08-30T11:57:49
xgboost,evi,0.0802649020342567,0.0387020364341887,0.3196223555273966,2026-08-30T11:58:01
random_forest_v2_features,ndvi,0.0047721221197695,0.027131539333649,0.7550439049095052,2026-08-30T12:37:07
random_forest_v2_features,evi,0.0936467847864368,0.038419453007678,0.3394761879067368,2026-08-30T12:38:57
xgboost_v2_features,ndvi,0.0252901961642829,0.0268504046623771,0.7496933458583115,2026-08-30T12:39:18
xgboost_v2_features,evi,0.069528639144239,0.0389272695830182,0.3260889888342767,2026-08-30T12:39:30
random_forest_v3_features,ndvi,0.3248783458856125,0.022346226022315,0.7691598787912386,2026-08-30T12:51:50
random_forest_v3_features,evi,0.1054742184230942,0.0381679529814588,0.3776983217196713,2026-08-30T12:53:01
xgboost_v3_features,ndvi,0.260384297837236,0.0233892464242114,0.7330735667135418,2026-08-30T12:53:18
xgboost_v3_features,evi,0.1266278342437008,0.0377139578147935,0.3956375186471526,2026-08-30T12:53:27
random_forest_v4_features,ndvi,0.328742226795164,0.022282187896021,0.7675284519492803,2026-08-30T18:43:46
random_forest_v4_features,evi,0.1087474257374361,0.0380980577805465,0.3822363877863906,2026-08-30T18:45:59
xgboost_v4_features,ndvi,0.2860931201813992,0.0229791495615414,0.7506764053508852,2026-08-30T18:46:18
xgboost_v4_features,evi,0.1381697335800821,0.03746392785562835,0.4085459499041641,2026-08-30T18:46:26
